CONSECUTIVO,ID_ENCUESTA,CE_ACCESSIBILITY,CE_CSAT,CE_VALUEFORMONEY,EM_IMMEDIATEATTENTION,EM_NURSING,EM_DOCTOR,EM_OVERALL,AD_TIME,AD_TARRIFFPACKAGESEXPLAINATION,AD_STAFFATTITUDE,INR_ROOMCLEANLINESS,INR_ROOMPEACE,INR_ROOMEQUIPMENT,INR_ROOMAMBIENCE,FNB_FOODQUALITY,FNB_FOODDELIVERYTIME,FNB_DIETICIAN,FNB_STAFFATTITUDE,AE_ATTENDEECARE,AE_PATIENTSTATUSINFO,AE_ATTENDEEFOOD,DOC_TREATMENTEXPLAINATION,DOC_ATTITUDE,DOC_VISITS,DOC_TREATMENTEFFECTIVENESS,NS_CALLBELLRESPONSE,NS_NURSESATTITUDE,NS_NURSEPROACTIVENESS,NS_NURSEPATIENCE,OVS_OVERALLSTAFFATTITUDE,OVS_OVERALLSTAFFPROMPTNESS,OVS_SECURITYATTITUDE,DP_DISCHARGETIME,DP_DISCHARGEQUERIES,DP_DISCHARGEPROCESS,DIASINTERNADO,SCORENPS,NPS
800,5035,3,2,2,4,4,4,3,3,2,3,2,2,3,2,1,1,3,3,2,3,1,3,3,3,3,3,4,3,3,3,3,3,1,1,1,2,2,Detractor
801,60406,2,1,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,2,Detractor
809,20121,3,3,2,4,4,4,3,3,3,3,3,1,2,2,3,2,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,6,Detractor
813,45003,4,4,4,2,3,2,2,2,2,3,4,4,4,4,3,3,3,4,3,2,3,4,4,3,2,4,4,4,4,4,4,4,2,2,2,4,5,Detractor
820,34265,3,3,2,4,4,4,4,4,3,3,2,2,3,2,3,3,3,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,3,8,5,Detractor
824,78155,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4,5,Detractor
827,49319,2,2,2,4,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,3,3,3,5,4,Detractor
842,14774,3,2,2,3,3,3,3,3,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,1,3,1,1,2,1,2,3,2,1,3,3,2,4,Detractor
867,25327,3,3,2,3,3,4,4,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4,4,3,3,3,3,3,2,2,2,1,6,Detractor
885,56601,3,3,3,4,3,3,3,3,3,3,2,3,1,2,2,1,2,2,2,2,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3,4,5,Detractor
900,89359,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,Detractor
910,63816,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,2,4,3,3,3,3,4,4,4,1,3,3,6,2,Detractor
932,11996,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,1,5,Detractor
937,33935,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4,5,Detractor
963,12425,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,6,Detractor
970,89824,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,6,Detractor
1002,17105,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,5,Detractor
1003,17107,3,2,2,4,4,4,4,3,3,3,3,3,2,2,1,1,2,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,2,3,3,2,1,Detractor
1014,12165,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,6,Detractor
1017,12161,2,3,1,3,2,3,3,3,2,3,2,2,3,1,2,1,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,2,1,Detractor
1026,95627,3,3,2,3,3,3,3,4,4,4,2,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,Detractor
1043,37002,3,4,3,4,4,4,4,3,2,3,3,3,3,3,2,2,3,3,3,3,2,4,4,4,3,4,4,4,4,3,3,4,3,2,2,2,5,Detractor
1052,85748,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,5,Detractor
1056,50341,3,3,3,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,1,2,1,4,4,3,3,3,4,3,3,3,3,3,2,3,3,3,5,Detractor
1057,66258,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,2,2,2,1,1,1,1,1,1,4,3,Detractor
1068,5793,4,4,2,4,4,4,4,4,4,4,2,2,2,2,2,3,3,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,1,6,Detractor
1091,94955,3,3,3,4,4,4,4,4,3,4,4,4,3,4,3,3,3,3,3,2,3,2,2,1,2,4,4,4,3,4,3,3,3,3,3,3,6,Detractor
1097,74285,3,3,3,3,3,3,3,3,2,2,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,7,5,Detractor
1103,32352,2,2,2,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,2,2,3,3,3,2,2,3,3,3,1,5,Detractor
1111,10934,2,3,3,3,4,4,3,2,2,3,4,3,3,3,3,3,3,2,3,4,3,4,3,4,4,3,4,4,4,3,3,3,2,3,2,2,6,Detractor
1125,79863,4,3,3,3,2,3,2,3,1,2,4,2,3,2,2,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,1,1,1,6,6,Detractor
1129,64883,2,1,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,2,6,Detractor
1134,96906,3,3,3,3,3,3,3,3,3,4,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,4,5,Detractor
1156,90692,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,3,4,3,4,3,3,5,Detractor
1158,40281,3,3,3,4,4,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
1161,79671,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,4,Detractor
1176,8376,3,2,2,3,3,3,3,4,3,3,1,1,1,1,2,3,1,2,2,1,2,2,2,2,2,3,3,2,1,3,1,3,2,3,3,1,2,Detractor
1177,8377,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,6,Detractor
1186,28953,3,3,3,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
1205,81399,3,3,2,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,3,4,3,3,3,3,6,Detractor
1218,12142,3,3,3,3,3,3,3,2,2,1,1,3,2,1,2,2,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,5,Detractor
1229,18870,4,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,6,5,Detractor
1231,63130,3,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,6,Detractor
